PUMA,mgra,HHID
7301,822,8542
7301,822,12815
7301,822,12815
7301,822,14443
7301,822,14639
7301,822,15250
7301,822,16498
7301,822,18508
7301,822,19637
7301,822,19637
7301,822,23105
7301,822,23105
7301,822,26725
7301,822,26725
7301,822,26725
7301,822,32637
7301,822,38526
7301,822,39377
7301,822,42791
7301,822,44270
7301,822,46909
7301,822,50768
7301,822,50768
7301,836,5417
7301,836,5417
7301,836,12302
7301,836,12815
7301,836,20451
7301,836,20451
7301,836,20451
7301,836,20451
7301,836,20451
7301,836,32198
7301,836,32198
7301,836,32198
7301,836,32198
7301,836,32198
7301,836,32198
7301,836,32198
7301,836,32198
7301,836,32198
7301,836,36339
7301,836,36339
7301,836,37628
7301,836,37628
7301,836,37628
7301,836,37744
7301,836,37744
7301,836,37744
7301,836,37744
7301,836,39082
7301,836,39082
7301,836,39082
7301,836,40390
7301,836,48129
7301,1031,1129
7301,1031,7583
7301,1031,8571
7301,1031,12302
7301,1031,14991
7301,1031,21314
7301,1031,22901
7301,1031,24529
7301,1031,24529
7301,1031,24529
7301,1031,24529
7301,1031,25863
7301,1031,36339
7301,1031,37822
7301,1031,38179
7301,1031,38179
7301,1031,40390
7301,1031,40390
7301,1031,40390
7301,1031,41047
7301,1031,43272
7301,1031,43272
7301,1077,1394
7301,1077,2774
7301,1077,2786
7301,1077,2786
7301,1077,2817
7301,1077,6347
7301,1077,7322
7301,1077,7322
7301,1077,7441
7301,1077,10917
7301,1077,11246
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12302
7301,1077,12533
7301,1077,13311
7301,1077,13756
7301,1077,13950
7301,1077,14279
7301,1077,14279
7301,1077,14696
7301,1077,15470
7301,1077,16530
7301,1077,17789
7301,1077,18657
7301,1077,18657
7301,1077,18973
7301,1077,18973
7301,1077,18973
7301,1077,20108
7301,1077,22901
7301,1077,22901
7301,1077,22901
7301,1077,24453
7301,1077,24453
7301,1077,24453
7301,1077,24453
7301,1077,24453
7301,1077,26951
7301,1077,26951
7301,1077,26951
7301,1077,26951
7301,1077,26951
7301,1077,28834
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31072
7301,1077,31741
7301,1077,32017
7301,1077,32539
7301,1077,33217
7301,1077,34518
7301,1077,34518
7301,1077,34518
7301,1077,34518
7301,1077,34518
7301,1077,34845
7301,1077,35037
7301,1077,35037
7301,1077,36077
7301,1077,37382
7301,1077,37382
7301,1077,37382
7301,1077,38176
7301,1077,38869
7301,1077,38869
7301,1077,38869
7301,1077,38869
7301,1077,39563
7301,1077,40250
7301,1077,40250
7301,1077,40250
7301,1077,40250
7301,1077,40250
7301,1077,40250
7301,1077,41584
7301,1077,41584
7301,1077,41584
7301,1077,41584
7301,1077,41584
7301,1077,41584
7301,1077,41584
7301,1077,46073
7301,1077,46180
7301,1077,46180
7301,1077,46515
7301,1077,46656
7301,1077,46656
7301,1077,46656
7301,1077,46656
7301,1077,46872
7301,1077,46872
7301,1077,46872
7301,1077,46872
7301,1077,46872
7301,1077,46872
7301,1077,46872
7301,1077,47281
7301,1077,47486
7301,1077,47522
7301,1077,47522
7301,1077,47653
7301,1077,49096
7301,1077,49129
7301,1077,49129
7301,1077,49129
7301,1077,49129
7301,1077,49129
7301,1077,49129
7301,1077,49194
7301,1077,49194
7301,1077,49194
7301,1077,49194
7301,1077,49194
7301,1077,49194
7301,1077,49194
7301,1077,51727
7301,1077,51727
7301,1077,51727
7301,1170,713
7301,1170,844
7301,1170,5022
7301,1170,6099
7301,1170,6099
7301,1170,6099
7301,1170,8571
7301,1170,8571
7301,1170,8571
7301,1170,8571
7301,1170,8571
7301,1170,12128
7301,1170,18973
7301,1170,19637
7301,1170,19637
7301,1170,20775
7301,1170,24155
7301,1170,25435
7301,1170,26772
7301,1170,29756
7301,1170,31046
7301,1170,31046
7301,1170,31046
7301,1170,39342
7301,1170,40470
7301,1170,49356
7301,1170,49356
7301,1170,49356
7301,1170,50683
7301,1170,50768
7301,1217,713
7301,1217,713
7301,1217,2922
7301,1217,5417
7301,1217,5917
7301,1217,6907
7301,1217,7393
7301,1217,7950
7301,1217,8108
7301,1217,11538
7301,1217,11538
7301,1217,11538
7301,1217,11538
7301,1217,11538
7301,1217,11538
7301,1217,13571
7301,1217,13950
7301,1217,13950
7301,1217,13950
7301,1217,13950
7301,1217,18624
7301,1217,18624
7301,1217,18624
7301,1217,18624
7301,1217,18624
7301,1217,18624
7301,1217,18624
7301,1217,20108
7301,1217,20108
7301,1217,24186
7301,1217,24193
7301,1217,24193
7301,1217,26933
7301,1217,29744
7301,1217,29744
7301,1217,29744
7301,1217,29744
7301,1217,29823
7301,1217,29823
7301,1217,29823
7301,1217,30223
7301,1217,31046
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,31072
7301,1217,32017
7301,1217,32198
7301,1217,35930
7301,1217,36185
7301,1217,38179
7301,1217,38179
7301,1217,38179
7301,1217,38185
7301,1217,39302
7301,1217,40250
7301,1217,40250
7301,1217,40250
7301,1217,40250
7301,1217,40250
7301,1217,40250
7301,1217,41456
7301,1217,42054
7301,1217,42463
7301,1217,42463
7301,1217,42463
7301,1217,42463
7301,1217,42463
7301,1217,42463
7301,1217,42463
7301,1217,42463
7301,1217,42463
7301,1217,43272
7301,1217,43272
7301,1217,43272
7301,1217,45987
7301,1217,46655
7301,1217,46872
7301,1217,49194
7301,1217,49194
7301,1217,49489
7301,1217,49489
7301,1217,49489
7301,1217,51747
7301,1217,51747
7301,1276,359
7301,1276,713
7301,1276,713
7301,1276,713
7301,1276,3914
7301,1276,5417
7301,1276,6112
7301,1276,7583
7301,1276,8108
7301,1276,9322
7301,1276,10370
7301,1276,10606
7301,1276,10606
7301,1276,10606
7301,1276,11125
7301,1276,11538
7301,1276,12302
7301,1276,13635
7301,1276,14246
7301,1276,19934
7301,1276,19934
7301,1276,19934
7301,1276,20775
7301,1276,20775
7301,1276,20775
7301,1276,20819
7301,1276,26772
7301,1276,29146
7301,1276,29744
7301,1276,29744
7301,1276,29744
7301,1276,29744
7301,1276,29744
7301,1276,29744
7301,1276,29744
7301,1276,29744
7301,1276,31072
7301,1276,31072
7301,1276,31072
7301,1276,31680
7301,1276,32198
7301,1276,35591
7301,1276,36339
7301,1276,40250
7301,1276,40250
7301,1276,40250
7301,1276,40250
7301,1276,40250
7301,1276,40250
7301,1276,40250
7301,1276,40250
7301,1276,46141
7301,1276,49194
7301,1276,49194
7301,1276,49194
7301,1276,49974
7301,1276,49974
7301,1276,49974
7301,1276,49974
7301,1276,50313
7301,1276,50683
7301,1276,50683
7301,1324,1388
7301,1324,5417
7301,1324,7216
7301,1324,9028
7301,1324,11968
7301,1324,13635
7301,1324,13635
7301,1324,15470
7301,1324,16652
7301,1324,18657
7301,1324,19934
7301,1324,22378
7301,1324,26772
7301,1324,30030
7301,1324,31046
7301,1324,31046
7301,1324,36339
7301,1324,37628
7301,1324,46656
7301,1324,51560
7301,1347,1677
7301,1347,1677
7301,1347,5417
7301,1347,5417
7301,1347,14991
7301,1347,20775
7301,1347,23341
7301,1347,24529
7301,1347,25919
7301,1347,26725
7301,1347,26772
7301,1347,26772
7301,1347,27294
7301,1347,31046
7301,1347,31046
