HHID,PUMA,NP,HHADJINC,ADJINC,WGTP,HHT,child_present,WIF,HUPAC,VEH,numWorkers,BLD
28538,7314,1,32310.0,1070512,12,6.0,0,,4.0,0.0,1.0,9.0
28539,7317,3,100914.9,1070512,11,1.0,1,2.0,1.0,2.0,2.0,7.0
28540,7318,2,47388.0,1070512,25,1.0,0,2.0,4.0,2.0,2.0,8.0
28541,7301,2,430800.0,1070512,24,1.0,0,2.0,4.0,2.0,2.0,2.0
28542,7310,2,215830.8,1070512,9,1.0,0,0.0,4.0,2.0,0.0,2.0
28543,7314,2,317607.3,1070512,13,1.0,0,2.0,4.0,2.0,2.0,2.0
28544,7306,2,130532.4,1070512,10,1.0,0,1.0,4.0,2.0,1.0,2.0
28545,7322,1,31663.8,1070512,10,6.0,0,,4.0,1.0,0.0,2.0
28546,7312,2,8616.0,1070512,20,3.0,0,0.0,4.0,1.0,0.0,2.0
28547,7319,3,57511.799999999996,1070512,28,1.0,1,2.0,1.0,3.0,1.0,5.0
28548,7310,2,174258.6,1070512,18,3.0,1,2.0,2.0,2.0,2.0,8.0
28549,7313,7,253848.9,1070512,29,1.0,1,3.0,2.0,5.0,5.0,2.0
28550,7304,4,242325.0,1070512,17,1.0,1,2.0,3.0,2.0,2.0,2.0
28551,7318,2,30263.699999999997,1070512,11,3.0,0,1.0,4.0,1.0,1.0,2.0
28552,7309,2,101884.2,1070512,23,1.0,0,0.0,4.0,3.0,0.0,2.0
28553,7312,4,62466.0,1070512,13,1.0,1,2.0,2.0,2.0,2.0,8.0
28554,7314,1,66989.4,1070512,14,4.0,0,,4.0,2.0,0.0,2.0
28555,7309,1,91545.0,1070512,16,6.0,0,,4.0,1.0,1.0,2.0
28556,7306,1,16585.8,1070512,15,6.0,0,,4.0,0.0,0.0,9.0
28557,7311,4,619490.4,1070512,22,1.0,1,2.0,2.0,2.0,2.0,2.0
28558,7313,2,122347.2,1070512,19,1.0,0,2.0,4.0,3.0,2.0,2.0
28559,7315,2,788364.0,1070512,32,1.0,0,2.0,4.0,2.0,2.0,2.0
28560,7306,1,37695.0,1070512,20,6.0,0,,4.0,1.0,1.0,3.0
28561,7316,1,36833.4,1070512,20,4.0,0,,4.0,0.0,0.0,9.0
28562,7304,5,18416.7,1070512,14,1.0,1,1.0,3.0,2.0,1.0,2.0
28563,7304,3,41895.299999999996,1070512,23,3.0,0,3.0,4.0,3.0,3.0,6.0
28564,7315,4,792672.0,1070512,17,5.0,0,,4.0,4.0,4.0,2.0
28565,7309,5,60850.5,1070512,20,1.0,1,3.0,2.0,2.0,2.0,3.0
28566,7314,4,93268.2,1070512,10,2.0,1,0.0,2.0,2.0,1.0,2.0
28567,7320,5,62466.0,1070512,10,1.0,1,1.0,3.0,4.0,2.0,2.0
28568,7314,1,107700.0,1070512,31,6.0,0,,4.0,1.0,1.0,5.0
28569,7304,2,67312.5,1070512,24,1.0,0,1.0,4.0,2.0,1.0,3.0
28570,7319,2,107915.4,1070512,12,1.0,0,2.0,4.0,2.0,2.0,2.0
28571,7311,3,194506.19999999998,1070512,73,1.0,0,2.0,4.0,2.0,1.0,3.0
28572,7308,2,210338.1,1070512,12,1.0,0,1.0,4.0,2.0,1.0,2.0
28573,7306,2,70005.0,1070512,50,1.0,0,1.0,4.0,2.0,1.0,2.0
28574,7309,5,495420.0,1070512,11,1.0,1,2.0,3.0,3.0,2.0,2.0
28575,7306,4,121377.9,1070512,24,1.0,1,2.0,2.0,3.0,2.0,2.0
28576,7316,3,94129.8,1070512,15,1.0,1,2.0,2.0,2.0,2.0,7.0
28577,7315,2,188475.0,1070512,73,1.0,0,2.0,4.0,2.0,2.0,9.0
28578,7301,4,138286.8,1070512,12,1.0,1,2.0,3.0,2.0,2.0,2.0
28579,7320,2,91114.2,1070512,11,3.0,0,2.0,4.0,1.0,1.0,9.0
28580,7303,2,84867.59999999999,1070512,18,3.0,0,1.0,4.0,2.0,1.0,2.0
28581,7305,2,42326.1,1070512,18,3.0,0,1.0,4.0,2.0,1.0,1.0
28582,7311,4,997302.0,1070512,21,1.0,1,1.0,2.0,2.0,1.0,2.0
28583,7311,2,217015.5,1070512,18,1.0,0,1.0,4.0,2.0,1.0,2.0
28584,7316,1,79708.77,1070512,9,4.0,0,,4.0,2.0,0.0,2.0
28585,7317,1,73882.2,1070512,16,4.0,0,,4.0,1.0,1.0,9.0
28586,7310,4,200645.1,1070512,11,3.0,0,0.0,4.0,4.0,1.0,2.0
28587,7305,4,236444.58,1070512,11,3.0,1,3.0,2.0,4.0,3.0,6.0
28588,7312,3,62358.299999999996,1070512,11,1.0,1,1.0,1.0,1.0,1.0,2.0
28589,7307,1,45341.7,1070512,23,6.0,0,,4.0,1.0,0.0,2.0
28590,7311,2,224339.09999999998,1070512,15,1.0,0,0.0,4.0,2.0,0.0,2.0
28591,7321,2,23586.3,1070512,8,1.0,0,0.0,4.0,1.0,0.0,8.0
28592,7318,5,16822.739999999998,1070512,10,1.0,1,1.0,2.0,2.0,1.0,5.0
28593,7306,1,70005.0,1070512,14,4.0,0,,4.0,0.0,1.0,5.0
28594,7302,6,133117.19999999998,1070512,5,1.0,1,2.0,2.0,5.0,2.0,1.0
28595,7304,3,172320.0,1070512,24,1.0,0,3.0,4.0,4.0,3.0,2.0
28596,7321,4,34464.0,1070512,14,1.0,1,1.0,1.0,1.0,1.0,6.0
28597,7303,1,10770.0,1070512,12,6.0,0,,4.0,1.0,0.0,4.0
28598,7314,2,88637.09999999999,1070512,13,3.0,0,2.0,4.0,2.0,2.0,7.0
28599,7307,4,61389.0,1070512,6,3.0,1,0.0,1.0,2.0,1.0,2.0
28600,7304,1,81528.9,1070512,15,4.0,0,,4.0,1.0,0.0,3.0
28601,7309,2,312330.0,1070512,19,5.0,0,,4.0,3.0,2.0,2.0
28602,7319,2,169089.0,1070512,11,3.0,0,1.0,4.0,1.0,1.0,1.0
28603,7310,2,239094.0,1070512,10,1.0,0,2.0,4.0,3.0,1.0,2.0
28604,7314,3,17770.5,1070512,19,3.0,0,2.0,4.0,3.0,2.0,2.0
28605,7319,1,48680.4,1070512,10,6.0,0,,4.0,1.0,0.0,6.0
28606,7316,1,70005.0,1070512,10,4.0,0,,4.0,1.0,1.0,7.0
28607,7317,2,66235.5,1070512,20,5.0,0,,4.0,1.0,1.0,8.0
28608,7313,1,88389.39,1070512,15,4.0,0,,4.0,1.0,0.0,2.0
28609,7312,1,47926.5,1070512,9,4.0,0,,4.0,1.0,1.0,6.0
28610,7311,3,889602.0,1070512,19,3.0,1,1.0,2.0,2.0,2.0,2.0
28611,7312,1,72697.5,1070512,16,4.0,0,,4.0,1.0,1.0,9.0
28612,7318,3,71405.09999999999,1070512,35,3.0,1,2.0,2.0,3.0,2.0,2.0
28613,7321,1,4308.0,1070512,7,6.0,0,,4.0,2.0,1.0,2.0
28614,7309,4,310176.0,1070512,17,7.0,0,,4.0,4.0,4.0,4.0
28615,7316,1,77544.0,1070512,7,6.0,0,,4.0,1.0,1.0,9.0
28616,7301,3,52773.0,1070512,98,1.0,1,2.0,1.0,2.0,1.0,2.0
28617,7315,2,145395.0,1070512,43,5.0,0,,4.0,2.0,2.0,2.0
28618,7321,2,111038.7,1070512,12,5.0,0,,4.0,0.0,0.0,5.0
28619,7305,6,107700.0,1070512,21,1.0,1,1.0,2.0,2.0,1.0,2.0
28620,7301,2,256218.3,1070512,22,5.0,0,,4.0,4.0,2.0,2.0
28621,7318,2,70543.5,1070512,12,1.0,0,0.0,4.0,2.0,0.0,2.0
28622,7319,3,80344.2,1070512,12,1.0,0,1.0,4.0,3.0,0.0,2.0
28623,7316,1,145933.5,1070512,23,6.0,0,,4.0,1.0,1.0,9.0
28624,7301,2,23974.02,1070512,21,1.0,0,2.0,4.0,2.0,1.0,3.0
28625,7318,6,90468.0,1070512,31,1.0,1,3.0,3.0,1.0,3.0,6.0
28626,7315,4,376950.0,1070512,14,1.0,1,2.0,3.0,3.0,2.0,2.0
28627,7307,3,212922.9,1070512,12,1.0,0,1.0,4.0,2.0,1.0,2.0
28628,7305,4,61065.899999999994,1070512,10,3.0,1,0.0,3.0,1.0,0.0,6.0
28629,7306,2,171350.69999999998,1070512,11,1.0,0,2.0,4.0,2.0,2.0,2.0
28630,7311,7,138717.6,1070512,16,1.0,1,2.0,2.0,4.0,2.0,2.0
28631,7310,1,59127.299999999996,1070512,19,6.0,0,,4.0,1.0,0.0,3.0
28632,7319,1,45234.0,1070512,9,6.0,0,,4.0,1.0,1.0,1.0
28633,7317,1,11847.0,1070512,25,6.0,0,,4.0,0.0,0.0,6.0
28634,7312,3,0.0,1070512,13,5.0,0,,4.0,1.0,0.0,5.0
28635,7306,3,109854.0,1070512,10,2.0,0,2.0,4.0,2.0,2.0,2.0
28636,7313,2,103499.7,1070512,19,1.0,0,2.0,4.0,3.0,2.0,2.0
28637,7319,4,147764.4,1070512,11,1.0,1,2.0,1.0,2.0,1.0,2.0
28638,7315,1,70005.0,1070512,12,4.0,0,,4.0,1.0,1.0,9.0
28639,7314,2,32310.0,1070512,10,1.0,0,0.0,4.0,3.0,0.0,2.0
28640,7307,3,79698.0,1070512,20,1.0,1,2.0,1.0,2.0,2.0,7.0
28641,7313,1,31211.46,1070512,27,6.0,0,,4.0,1.0,0.0,1.0
