mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
392,13,13,0,0,0,0,0,5,7,3,1,6,0,4,0,1,5,0,0,20,8,6,2,0,16,4,7,3,2,14,2,0,1,0,6,4,0,5,0,0,0,16
393,89,142,17,12,6,5,15,33,27,38,21,12,31,14,56,10,99,2,7,57,27,37,17,20,101,26,33,33,9,76,25,4,7,23,39,17,4,7,0,0,0,101
394,13,30,0,0,0,0,4,3,5,1,5,6,10,9,0,1,19,0,8,15,10,11,2,1,24,6,8,6,4,21,3,6,0,5,7,6,0,0,0,0,0,24
395,36,46,1,2,2,4,4,24,20,14,4,3,0,4,1,0,19,0,3,59,24,18,4,2,48,23,17,8,0,46,2,0,2,10,13,8,5,10,0,0,0,48
396,12,8,0,0,0,0,0,5,1,3,1,8,2,0,0,0,9,0,0,11,3,4,1,1,9,1,4,3,1,7,2,0,0,2,3,4,0,0,0,0,0,9
397,51,81,3,5,9,2,9,17,23,20,20,9,8,7,8,2,43,0,4,75,5,18,5,18,46,27,13,6,0,41,5,2,2,6,13,6,10,7,0,0,0,46
398,37,40,4,5,5,2,2,8,12,11,3,4,17,4,5,0,19,0,8,45,13,16,4,4,37,9,13,9,6,28,9,5,3,3,5,5,2,14,0,0,0,37
399,373,398,60,40,50,30,62,116,106,63,78,91,47,28,125,29,194,7,72,344,100,138,54,57,349,88,124,102,35,251,98,15,15,34,85,91,45,64,0,0,0,349
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,39,21,7,2,1,0,5,5,2,9,9,2,10,8,5,2,5,3,14,31,15,13,3,2,33,10,15,8,0,27,6,0,0,2,8,3,3,17,0,0,0,33
402,236,268,26,42,23,22,32,85,81,62,42,39,41,9,102,75,221,2,16,88,79,96,31,37,243,72,95,59,17,197,46,29,27,49,67,27,24,20,0,0,0,243
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,24,30,2,3,3,0,5,4,5,20,7,4,1,0,10,0,39,0,1,4,2,8,4,5,19,4,6,6,3,10,9,4,6,5,2,2,0,0,0,0,0,19
405,21,44,3,6,2,1,2,18,1,5,9,11,7,0,10,22,24,0,3,6,7,9,4,5,25,3,8,10,4,14,11,0,8,7,6,4,0,0,0,0,0,25
406,79,101,19,16,11,6,2,22,27,22,24,15,11,5,26,1,35,1,13,104,17,27,12,18,74,17,24,25,8,46,28,5,0,13,12,9,15,20,0,0,0,74
407,35,38,2,5,0,0,4,9,13,13,10,7,5,5,10,3,26,0,1,33,34,14,3,0,51,9,21,14,7,46,5,3,7,11,12,8,3,7,0,0,0,51
408,75,100,19,13,9,4,13,21,22,15,17,15,7,20,10,0,56,1,11,97,11,21,15,17,64,12,23,22,7,43,21,0,3,12,14,16,6,13,0,0,0,64
409,7,14,0,2,2,2,0,1,7,2,2,1,2,0,2,0,7,0,0,12,5,4,1,0,10,2,3,4,1,7,3,0,5,5,0,0,0,0,0,0,0,10
410,141,203,12,27,24,39,19,19,29,70,39,32,24,10,129,6,58,9,17,125,23,43,24,39,129,36,45,38,10,72,57,12,6,14,0,19,15,63,0,0,0,129
411,33,40,3,6,1,5,5,8,5,6,12,14,8,0,2,0,18,0,1,52,9,12,5,5,31,8,9,10,4,21,10,0,1,0,7,6,5,12,0,0,0,31
412,13,9,2,0,0,0,6,7,1,1,3,0,0,2,3,10,3,0,0,6,0,4,2,2,8,1,3,4,0,5,3,0,3,4,1,0,0,0,0,0,3,11
413,28,40,4,1,3,0,6,10,4,10,8,6,8,8,0,0,15,3,0,50,15,16,5,2,38,10,14,9,5,31,7,0,5,5,4,5,4,15,0,0,0,38
414,81,101,17,9,16,10,21,19,30,25,16,9,7,3,4,17,146,0,8,7,3,8,7,31,49,8,18,16,7,19,30,8,3,24,8,6,0,0,0,0,0,49
415,61,94,13,10,4,4,11,12,22,17,11,15,31,5,3,0,71,0,13,68,22,24,14,13,73,14,21,30,8,51,22,12,0,12,7,17,6,19,0,0,0,73
416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,25,26,2,1,4,0,13,1,1,1,11,4,9,4,0,0,33,0,0,18,9,11,4,2,26,3,9,10,4,17,9,5,1,11,5,2,0,2,0,0,0,26
418,39,28,7,2,3,4,7,10,3,9,3,12,5,2,0,1,23,0,4,39,7,11,5,6,29,3,10,11,5,18,11,0,0,1,8,4,3,13,0,0,0,29
419,69,82,3,3,10,7,6,24,20,14,14,20,27,3,29,31,75,0,2,14,5,14,9,22,50,9,18,16,7,27,23,4,0,11,17,11,4,3,0,0,0,50
420,82,86,16,9,15,12,7,21,19,38,13,7,6,5,18,2,102,0,5,41,11,21,14,16,62,11,20,24,7,31,31,3,6,21,16,6,6,4,0,0,0,62
421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,28,34,1,5,8,1,3,2,6,10,8,12,6,0,5,0,15,0,0,42,7,10,6,3,26,3,9,10,4,14,12,0,0,8,6,2,1,9,0,0,0,26
423,49,38,2,3,0,1,11,30,15,11,6,3,5,0,13,4,11,0,15,44,15,15,8,4,42,6,15,14,7,30,12,1,0,7,13,6,6,9,0,0,0,42
