mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
343,21,25,5,3,4,1,3,6,6,2,4,4,5,3,0,2,19,0,0,25,4,6,2,4,16,4,7,4,1,11,5,0,0,6,5,2,1,2,0,0,0,16
344,55,52,9,11,14,6,8,19,10,16,9,5,0,0,2,4,91,3,0,7,1,8,6,15,30,15,10,5,0,19,11,1,4,10,9,6,0,0,0,0,0,30
345,657,691,82,97,140,89,87,127,281,268,88,44,34,11,449,11,559,13,109,207,25,72,54,207,358,103,146,79,30,172,186,5,24,25,38,92,72,102,0,0,0,358
346,78,109,0,6,13,6,20,25,13,27,24,33,16,4,106,13,44,2,5,17,4,10,7,29,50,16,18,11,5,36,14,2,3,5,15,12,5,8,0,0,0,50
347,182,169,22,26,31,33,31,43,57,36,30,23,14,5,65,4,203,12,36,31,9,23,27,44,103,20,29,45,9,39,64,0,7,4,13,52,11,16,0,0,0,103
348,38,34,4,10,4,3,14,11,6,10,3,4,3,0,11,2,19,0,1,39,7,9,5,6,27,10,10,6,1,20,7,0,0,9,5,7,2,4,0,0,0,27
349,28,39,2,3,3,5,0,19,10,5,9,6,3,2,0,0,30,1,0,36,13,12,4,3,32,15,10,7,0,28,4,2,4,6,5,3,2,10,0,0,0,32
350,39,52,9,6,4,0,5,11,6,16,10,6,12,6,0,7,17,0,9,58,20,21,6,2,49,16,18,13,2,41,8,0,3,7,9,7,6,17,0,0,0,49
351,33,34,10,3,3,0,1,11,18,2,10,7,2,0,4,0,22,0,3,38,7,8,5,5,25,7,9,9,0,19,6,0,0,5,4,4,4,8,0,0,0,25
352,20,40,4,3,1,3,6,6,8,8,5,13,3,0,0,0,16,0,1,43,7,10,2,4,23,5,8,8,2,16,7,0,0,2,5,5,2,9,0,0,0,23
