HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,RAC1P,HISP,isWorker,pop_race,NAICS2,WKW,OCCP,SCHL,isinlaborforce,SOCP,SOC2
1358,1,7319,31,0,,1,6.0,4.0,,2,1,0,Black,0,,,13.0,0,0,0
1359,1,7310,21,0,5.0,1,4.0,1.0,99.0,1,1,1,White,MIL,1.0,1555.0,16.0,0,17302X,17
1360,1,7306,15,13,,2,,,,6,1,0,Asian,0,,,13.0,0,0,0
1361,1,7312,18,0,5.0,1,4.0,1.0,99.0,1,2,1,Hispanic,MIL,5.0,9825.0,19.0,0,553010,55
1362,1,7301,21,0,5.0,1,4.0,1.0,45.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1363,1,7320,25,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,1.0,0,0,0
1364,1,7317,18,15,1.0,1,6.0,4.0,20.0,1,1,0,White,23,5.0,6260.0,18.0,0,472061,47
1365,1,7316,22,15,5.0,2,4.0,1.0,58.0,1,1,1,White,MIL,1.0,3870.0,18.0,0,333050,33
1366,1,7317,19,15,2.0,1,6.0,4.0,4.0,1,1,0,White,81,5.0,2905.0,19.0,0,2740XX,27
1367,1,7316,31,0,1.0,1,6.0,4.0,,6,1,0,Asian,81,,7200.0,17.0,0,493023,49
1368,1,7317,19,15,1.0,2,6.0,4.0,10.0,6,1,0,Asian,44,6.0,4720.0,16.0,0,412010,41
1369,1,7316,19,15,1.0,2,6.0,4.0,20.0,2,24,0,Hispanic,722,6.0,4030.0,18.0,0,352021,35
1370,1,7316,40,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,16.0,0,0,0
1371,1,7307,31,0,,1,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
1372,1,7310,21,0,5.0,1,4.0,1.0,99.0,1,1,1,White,MIL,6.0,9825.0,16.0,0,553010,55
1373,1,7304,47,0,1.0,1,6.0,4.0,40.0,1,1,0,White,32,3.0,7750.0,22.0,0,5120XX,51
1374,1,7303,20,15,4.0,2,1.0,4.0,10.0,1,1,1,White,61,1.0,4640.0,19.0,1,399041,39
1375,1,7316,21,0,5.0,1,4.0,1.0,85.0,1,1,1,White,MIL,1.0,7340.0,16.0,0,499071,49
1376,1,7313,47,0,1.0,1,6.0,4.0,40.0,1,1,0,White,32,3.0,7750.0,22.0,0,5120XX,51
1377,1,7301,59,0,1.0,1,1.0,4.0,40.0,1,1,1,White,56,1.0,4251.0,16.0,1,373011,37
1378,1,7313,63,0,,2,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
1379,1,7316,55,0,2.0,2,6.0,4.0,,1,1,0,White,45,,9620.0,14.0,0,537062,53
