HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP
2473,2,7304,15,13.0,,1,,,
2474,1,7313,50,,5.0,2,4.0,1.0,40.0
2474,2,7313,41,15.0,1.0,1,1.0,4.0,40.0
2474,3,7313,17,13.0,,1,6.0,4.0,
2475,1,7302,81,,,2,6.0,4.0,
2476,1,7321,88,,,2,6.0,4.0,
2477,1,7313,62,,,1,6.0,4.0,
2477,2,7313,53,,,2,6.0,4.0,
2477,3,7313,32,,1.0,1,1.0,4.0,60.0
2478,1,7315,68,,,1,6.0,4.0,
2479,1,7321,62,,1.0,2,1.0,4.0,40.0
2479,2,7321,66,,1.0,1,1.0,4.0,40.0
2479,3,7321,30,,,1,6.0,4.0,
2479,4,7321,28,,6.0,2,1.0,4.0,3.0
2479,5,7321,52,,6.0,2,1.0,4.0,40.0
2480,1,7301,86,,,2,6.0,4.0,
2481,1,7302,36,,1.0,1,1.0,4.0,50.0
2481,2,7302,34,,1.0,2,1.0,4.0,20.0
2481,3,7302,2,,,2,,,
2481,4,7302,0,,,1,,,
2482,1,7306,54,,1.0,1,1.0,4.0,40.0
2482,2,7306,57,,6.0,2,1.0,4.0,10.0
2482,3,7306,17,13.0,,2,6.0,4.0,
2483,1,7304,43,,1.0,2,1.0,4.0,40.0
2483,2,7304,48,,1.0,1,1.0,4.0,40.0
2483,3,7304,22,,1.0,1,1.0,4.0,10.0
2483,4,7304,14,10.0,,2,,,
2483,5,7304,11,7.0,,2,,,
2483,6,7304,65,,6.0,2,1.0,4.0,40.0
2484,1,7307,66,,1.0,1,6.0,4.0,
2484,2,7307,69,,,2,6.0,4.0,
2485,1,7303,73,,3.0,1,6.0,2.0,
2485,2,7303,71,,,2,6.0,4.0,
2486,1,7311,64,,1.0,1,1.0,4.0,40.0
2486,2,7311,59,,,2,6.0,4.0,
2486,3,7311,26,,3.0,2,1.0,4.0,40.0
2486,4,7311,24,,3.0,2,1.0,4.0,38.0
2487,1,7304,69,,1.0,1,6.0,4.0,
2487,2,7304,65,,,2,6.0,4.0,
2488,1,7301,47,15.0,2.0,1,6.0,4.0,
2489,1,7313,40,16.0,1.0,2,1.0,4.0,40.0
2489,2,7313,66,,,2,6.0,4.0,
2490,1,7303,50,,1.0,2,1.0,2.0,38.0
2490,2,7303,29,,7.0,1,1.0,4.0,40.0
2491,1,7315,46,,1.0,1,3.0,4.0,48.0
2491,2,7315,41,,1.0,2,1.0,4.0,50.0
2491,3,7315,9,6.0,,2,,,
2491,4,7315,5,2.0,,1,,,
2491,5,7315,78,,,2,6.0,4.0,
2492,1,7312,64,,1.0,2,6.0,4.0,
2492,2,7312,56,,5.0,1,1.0,2.0,40.0
2492,3,7312,20,15.0,1.0,1,1.0,4.0,36.0
2493,1,7301,30,,5.0,1,6.0,2.0,60.0
2493,2,7301,27,16.0,1.0,2,1.0,4.0,30.0
2494,1,7311,60,,2.0,2,1.0,4.0,12.0
2494,2,7311,61,,1.0,1,1.0,4.0,42.0
2495,1,7321,58,,1.0,2,1.0,4.0,20.0
2495,2,7321,59,,1.0,1,1.0,4.0,40.0
2495,3,7321,25,15.0,1.0,2,1.0,4.0,20.0
2495,4,7321,20,15.0,1.0,1,1.0,4.0,40.0
2495,5,7321,25,15.0,,1,6.0,4.0,
2496,1,7307,59,,1.0,1,1.0,4.0,40.0
2496,2,7307,57,,1.0,2,6.0,4.0,
2497,1,7309,88,,,1,6.0,2.0,
2498,1,7316,38,,2.0,2,1.0,4.0,40.0
2499,1,7306,72,,1.0,1,1.0,2.0,40.0
2499,2,7306,64,,2.0,1,1.0,2.0,50.0
2500,1,7317,19,15.0,1.0,1,1.0,4.0,20.0
2500,2,7317,20,15.0,1.0,1,1.0,4.0,20.0
2501,1,7308,65,,7.0,1,6.0,4.0,30.0
2502,1,7305,71,,1.0,1,6.0,4.0,
2502,2,7305,69,,1.0,2,6.0,4.0,
2503,1,7321,67,,1.0,2,1.0,4.0,40.0
2504,1,7302,34,,2.0,2,1.0,4.0,25.0
2504,2,7302,40,,5.0,1,1.0,2.0,40.0
2504,3,7302,6,2.0,,2,,,
2504,4,7302,2,,,2,,,
2504,5,7302,1,,,1,,,
2505,1,7313,40,,1.0,2,1.0,4.0,40.0
2505,2,7313,48,,1.0,1,1.0,2.0,40.0
2505,3,7313,8,5.0,,2,,,
2506,1,7316,82,,,1,6.0,4.0,
2506,2,7316,80,,,2,6.0,4.0,
2507,1,7316,24,,1.0,2,1.0,4.0,60.0
2508,1,7311,41,,7.0,1,6.0,4.0,
2508,2,7311,42,,,2,6.0,4.0,
2508,3,7311,12,9.0,,2,,,
2508,4,7311,10,7.0,,1,,,
2509,1,7321,44,14.0,1.0,2,1.0,4.0,80.0
2509,2,7321,46,,1.0,1,1.0,4.0,65.0
2509,3,7321,25,16.0,1.0,1,1.0,4.0,40.0
2509,4,7321,18,14.0,,1,6.0,4.0,
2510,1,7308,40,,1.0,2,1.0,4.0,41.0
2510,2,7308,43,,1.0,1,1.0,4.0,40.0
2510,3,7308,8,5.0,,2,,,
2510,4,7308,5,2.0,,2,,,
2511,1,7301,72,,,2,6.0,4.0,
2512,1,7310,31,,1.0,1,1.0,4.0,45.0
2512,2,7310,33,,1.0,2,1.0,4.0,45.0
2513,1,7312,69,,2.0,2,6.0,4.0,5.0
2514,1,7320,37,,2.0,2,1.0,4.0,40.0
2514,2,7320,49,,2.0,1,1.0,4.0,40.0
2514,3,7320,6,2.0,,1,,,
2514,4,7320,3,,,1,,,
2514,5,7320,21,15.0,1.0,1,1.0,4.0,20.0
2515,1,7317,60,,,1,6.0,4.0,
2515,2,7317,72,,,1,6.0,2.0,
2515,3,7317,47,,4.0,1,3.0,4.0,
2516,1,7306,67,,,1,6.0,4.0,
2516,2,7306,61,,1.0,2,1.0,4.0,40.0
2517,1,7319,31,,2.0,2,6.0,4.0,
2517,2,7319,31,,1.0,1,1.0,4.0,50.0
2517,3,7319,3,1.0,,1,,,
2517,4,7319,1,,,2,,,
2518,1,7301,94,,,2,6.0,4.0,
2519,1,7317,44,,1.0,1,1.0,4.0,43.0
2519,2,7317,35,15.0,1.0,2,2.0,4.0,40.0
2519,3,7317,7,4.0,,1,,,
2520,1,7318,80,,2.0,2,6.0,4.0,
2520,2,7318,58,,1.0,2,1.0,4.0,16.0
2521,1,7307,34,,3.0,2,1.0,4.0,40.0
2521,2,7307,36,15.0,3.0,1,1.0,4.0,40.0
2521,3,7307,7,4.0,,1,,,
2521,4,7307,4,1.0,,2,,,
2522,1,7319,94,,,2,6.0,4.0,
2523,1,7321,76,,,2,6.0,4.0,
2524,1,7307,72,,,1,6.0,4.0,
2524,2,7307,66,,3.0,2,6.0,4.0,
2524,3,7307,20,,5.0,1,4.0,3.0,45.0
2525,1,7305,49,,1.0,1,1.0,4.0,40.0
2525,2,7305,48,,1.0,2,1.0,4.0,40.0
2525,3,7305,25,,1.0,1,1.0,4.0,25.0
2526,1,7322,48,,1.0,1,1.0,4.0,80.0
2526,2,7322,47,12.0,,2,6.0,4.0,
2526,3,7322,18,14.0,,1,6.0,4.0,
2527,1,7304,47,,1.0,1,1.0,4.0,50.0
2527,2,7304,47,,,2,6.0,4.0,
2527,3,7304,16,12.0,,2,6.0,,
2527,4,7304,13,10.0,,1,,,
2528,1,7302,36,,1.0,2,1.0,4.0,25.0
2528,2,7302,57,,1.0,1,1.0,4.0,60.0
2528,3,7302,5,2.0,,1,,,
2528,4,7302,3,1.0,,2,,,
2528,5,7302,65,,,2,6.0,4.0,
2529,1,7313,64,,2.0,2,2.0,4.0,40.0
2529,2,7313,66,,6.0,1,2.0,4.0,30.0
2530,1,7310,59,,3.0,1,1.0,4.0,40.0
2530,2,7310,47,,1.0,2,1.0,4.0,30.0
2531,1,7319,64,,,1,6.0,4.0,
2531,2,7319,63,,2.0,2,6.0,4.0,40.0
2532,1,7309,50,,5.0,1,1.0,2.0,40.0
2532,2,7309,51,,3.0,2,1.0,4.0,40.0
2532,3,7309,17,14.0,1.0,1,6.0,4.0,40.0
2532,4,7309,74,,,1,6.0,4.0,
2533,1,7319,46,,7.0,2,1.0,4.0,40.0
2533,2,7319,51,,4.0,1,1.0,4.0,40.0
2534,1,7314,32,,1.0,1,1.0,4.0,40.0
2534,2,7314,29,,2.0,2,1.0,4.0,32.0
2534,3,7314,2,,,2,,,
2535,1,7304,35,,1.0,1,1.0,4.0,40.0
2535,2,7304,34,,1.0,2,1.0,4.0,25.0
2535,3,7304,1,,,2,,,
2536,1,7318,65,15.0,1.0,1,6.0,4.0,
2536,2,7318,63,,5.0,2,1.0,4.0,40.0
2536,3,7318,37,,1.0,1,1.0,4.0,45.0
2536,4,7318,66,,1.0,1,1.0,4.0,40.0
2537,1,7314,34,,5.0,1,4.0,1.0,50.0
2537,2,7314,37,,3.0,2,6.0,4.0,20.0
2537,3,7314,11,8.0,,2,,,
2537,4,7314,9,6.0,,1,,,
2538,1,7321,72,,,2,6.0,4.0,
2539,1,7316,79,,2.0,1,6.0,2.0,6.0
2539,2,7316,79,,,2,6.0,4.0,
2539,3,7316,55,,1.0,1,1.0,4.0,40.0
2539,4,7316,51,,1.0,1,1.0,4.0,40.0
2539,5,7316,23,15.0,1.0,2,1.0,4.0,30.0
2539,6,7316,16,13.0,,2,6.0,,
2539,7,7316,54,,1.0,1,1.0,4.0,40.0
2540,1,7319,32,,1.0,2,1.0,2.0,40.0
2540,2,7319,8,4.0,,1,,,
2541,1,7307,43,,1.0,1,1.0,4.0,40.0
2541,2,7307,43,,,2,6.0,4.0,
2541,3,7307,25,,1.0,1,1.0,4.0,40.0
2541,4,7307,22,,1.0,1,1.0,4.0,40.0
2541,5,7307,18,15.0,1.0,2,1.0,4.0,15.0
2542,1,7312,22,,,2,6.0,4.0,
2542,2,7312,1,,,2,,,
2543,1,7317,68,,2.0,1,1.0,3.0,60.0
2543,2,7317,69,,,2,6.0,4.0,
2544,1,7305,33,,1.0,2,1.0,4.0,40.0
2544,2,7305,35,,1.0,1,1.0,4.0,40.0
2544,3,7305,1,,,2,,,
2544,4,7305,0,,,2,,,
2545,1,7309,38,,1.0,1,1.0,4.0,45.0
2545,2,7309,36,,1.0,2,1.0,4.0,24.0
2545,3,7309,7,4.0,,1,,,
2545,4,7309,3,,,2,,,
2546,1,7319,56,,3.0,2,1.0,4.0,50.0
2546,2,7319,58,,1.0,1,1.0,4.0,50.0
2546,3,7319,78,,,2,6.0,4.0,
2547,1,7312,25,,1.0,1,1.0,4.0,40.0
2547,2,7312,20,16.0,,1,6.0,4.0,
2547,3,7312,17,,1.0,1,2.0,2.0,40.0
2548,1,7301,32,15.0,1.0,2,1.0,2.0,40.0
2548,2,7301,11,8.0,,2,,,
2548,3,7301,10,6.0,,1,,,
2548,4,7301,7,4.0,,1,,,
2549,1,7304,61,,,2,6.0,4.0,
2550,1,7319,54,,1.0,2,1.0,4.0,42.0
2550,2,7319,28,,1.0,2,1.0,4.0,47.0
2550,3,7319,15,12.0,,2,,,
2550,4,7319,29,,1.0,1,1.0,4.0,40.0
2551,1,7308,42,,1.0,1,1.0,4.0,45.0
2551,2,7308,29,,1.0,2,1.0,4.0,42.0
2552,1,7313,70,,,1,6.0,4.0,
2552,2,7313,60,,1.0,2,2.0,4.0,24.0
2552,3,7313,30,,1.0,2,1.0,4.0,40.0
2553,1,7313,76,,,2,6.0,4.0,
2553,2,7313,51,,9.0,2,3.0,4.0,
2554,1,7313,77,,1.0,1,1.0,3.0,60.0
2554,2,7313,76,,,1,6.0,4.0,
2554,3,7313,68,,1.0,2,1.0,4.0,40.0
2554,4,7313,55,,1.0,1,1.0,4.0,40.0
2554,5,7313,33,,1.0,1,1.0,2.0,35.0
2555,1,7301,75,,2.0,2,1.0,4.0,30.0
2556,1,7308,94,,,2,6.0,4.0,
2557,1,7318,68,,,1,6.0,2.0,
2557,2,7318,68,,5.0,2,6.0,4.0,
2557,3,7318,36,,9.0,1,3.0,4.0,
2558,1,7314,43,,7.0,1,1.0,4.0,35.0
2558,2,7314,40,,1.0,2,1.0,4.0,30.0
2559,1,7321,67,,6.0,1,1.0,4.0,30.0
2560,1,7304,94,,,2,6.0,4.0,
2561,1,7308,47,,4.0,2,1.0,4.0,40.0
2561,2,7308,41,,4.0,1,1.0,4.0,40.0
2561,3,7308,12,9.0,,2,,,
2562,1,7309,62,,1.0,1,1.0,4.0,40.0
2562,2,7309,49,,1.0,2,1.0,4.0,40.0
2562,3,7309,15,11.0,,2,,,
2562,4,7309,13,10.0,,1,,,
2563,1,7306,54,,3.0,1,1.0,4.0,40.0
2563,2,7306,49,,1.0,2,3.0,4.0,
2564,1,7313,29,,1.0,1,1.0,4.0,25.0
2564,2,7313,53,,1.0,1,3.0,4.0,40.0
2565,1,7317,19,15.0,,2,6.0,4.0,
2565,2,7317,19,15.0,1.0,2,3.0,4.0,
2565,3,7317,19,,1.0,2,1.0,4.0,40.0
2565,4,7317,19,15.0,,2,6.0,4.0,
2566,1,7320,34,,5.0,2,1.0,4.0,40.0
2566,2,7320,35,,5.0,1,4.0,1.0,60.0
2566,3,7320,17,14.0,,1,6.0,4.0,
2566,4,7320,12,9.0,,2,,,
2567,1,7306,55,,,2,6.0,4.0,
2567,2,7306,14,11.0,,2,,,
2567,3,7306,9,5.0,,2,,,
2568,1,7313,58,,5.0,2,1.0,4.0,25.0
2568,2,7313,60,,,1,6.0,4.0,
2569,1,7317,59,,1.0,1,1.0,4.0,40.0
2569,2,7317,55,,1.0,2,1.0,4.0,40.0
2569,3,7317,28,,1.0,1,1.0,2.0,40.0
2569,4,7317,19,,1.0,1,1.0,4.0,25.0
2570,1,7313,94,,,2,6.0,4.0,
2571,1,7309,51,,1.0,1,1.0,4.0,50.0
2571,2,7309,45,,1.0,2,1.0,4.0,50.0
2571,3,7309,13,9.0,,1,,,
2571,4,7309,11,7.0,,1,,,
2571,5,7309,73,,,1,6.0,4.0,
2571,6,7309,72,,,2,6.0,4.0,
2572,1,7309,94,,,1,6.0,2.0,
2573,1,7308,89,,,1,6.0,2.0,
2573,2,7308,90,,,2,6.0,4.0,
2574,1,7312,38,,1.0,1,1.0,4.0,40.0
2574,2,7312,39,15.0,4.0,2,1.0,2.0,40.0
2574,3,7312,16,13.0,,1,6.0,,
2574,4,7312,15,11.0,,1,,,
2574,5,7312,13,11.0,,2,,,
2575,1,7303,30,,1.0,2,1.0,4.0,25.0
2575,2,7303,33,,1.0,1,6.0,4.0,30.0
2576,1,7303,47,,4.0,2,1.0,4.0,80.0
2576,2,7303,17,14.0,4.0,2,1.0,4.0,20.0
2577,1,7322,53,,5.0,1,1.0,2.0,40.0
2577,2,7322,54,,6.0,2,1.0,4.0,40.0
2578,1,7321,69,,1.0,2,1.0,4.0,30.0
2578,2,7321,63,,6.0,1,1.0,4.0,50.0
2579,1,7305,53,,1.0,2,1.0,2.0,40.0
2580,1,7313,49,,,2,6.0,4.0,
2580,2,7313,50,,1.0,1,1.0,2.0,40.0
2580,3,7313,45,,,1,6.0,4.0,
2581,1,7314,63,,1.0,2,1.0,4.0,50.0
2582,1,7309,67,,1.0,2,1.0,4.0,24.0
2583,1,7314,85,,,1,6.0,2.0,
2583,2,7314,82,,,2,6.0,4.0,
2584,1,7313,60,,1.0,1,1.0,4.0,59.0
2584,2,7313,57,15.0,,2,6.0,4.0,
2584,3,7313,21,15.0,,1,6.0,4.0,
2585,1,7301,49,,1.0,1,1.0,2.0,40.0
2585,2,7301,36,,1.0,2,1.0,4.0,40.0
2585,3,7301,2,,,2,,,
2585,4,7301,13,9.0,,2,,,
2585,5,7301,17,13.0,1.0,2,1.0,4.0,20.0
2586,1,7312,67,,1.0,1,1.0,4.0,40.0
2586,2,7312,62,,2.0,2,1.0,4.0,25.0
2586,3,7312,17,14.0,,2,6.0,4.0,
2587,1,7314,21,15.0,1.0,1,1.0,4.0,20.0
2588,1,7311,60,,1.0,2,1.0,4.0,40.0
2588,2,7311,64,,1.0,1,6.0,2.0,
2588,3,7311,32,,1.0,1,1.0,4.0,40.0
2589,1,7308,45,,5.0,1,1.0,2.0,40.0
2589,2,7308,41,,6.0,2,1.0,4.0,10.0
2589,3,7308,10,7.0,,2,,,
2589,4,7308,8,5.0,,2,,,
2590,1,7319,60,,,1,6.0,4.0,
2590,2,7319,59,,,2,6.0,4.0,
2590,3,7319,82,,,2,6.0,4.0,
2591,1,7301,72,,,2,6.0,4.0,
2591,2,7301,41,,,2,6.0,4.0,
2591,3,7301,94,,,1,6.0,4.0,
2592,1,7305,89,,,2,6.0,4.0,
2592,2,7305,89,,,1,6.0,2.0,
2593,1,7316,38,,6.0,2,1.0,4.0,45.0
2594,1,7304,47,16.0,1.0,1,1.0,2.0,40.0
2594,2,7304,16,13.0,,1,6.0,,
2595,1,7308,38,,1.0,1,1.0,4.0,45.0
2595,2,7308,37,,1.0,2,3.0,4.0,
2596,1,7316,33,,1.0,2,1.0,4.0,40.0
2596,2,7316,15,12.0,,1,,,
2597,1,7319,81,,,2,6.0,4.0,
2597,2,7319,83,,,1,6.0,2.0,
2598,1,7316,72,,1.0,1,1.0,2.0,40.0
2598,2,7316,60,,3.0,2,6.0,4.0,
2599,1,7321,79,,,2,6.0,4.0,
2600,1,7306,65,,1.0,1,1.0,4.0,40.0
2600,2,7306,65,,6.0,2,1.0,4.0,40.0
2600,3,7306,17,14.0,,1,6.0,4.0,
2601,1,7317,55,,3.0,2,1.0,4.0,20.0
2601,2,7317,15,12.0,,1,,,
2601,3,7317,13,10.0,,2,,,
2602,1,7317,40,15.0,1.0,1,1.0,4.0,40.0
2603,1,7309,48,,1.0,2,6.0,4.0,40.0
2603,2,7309,54,,1.0,1,1.0,4.0,45.0
2603,3,7309,9,5.0,,1,,,
2604,1,7309,94,,,2,6.0,4.0,
2605,1,7309,41,,3.0,1,1.0,4.0,56.0
2605,2,7309,38,,1.0,2,1.0,4.0,40.0
2605,3,7309,7,3.0,,1,,,
2605,4,7309,6,2.0,,1,,,
2605,5,7309,4,1.0,,2,,,
2606,1,7305,69,,1.0,1,6.0,4.0,
2606,2,7305,57,,4.0,2,1.0,4.0,41.0
2607,1,7310,36,,4.0,2,1.0,4.0,45.0
2607,2,7310,37,,1.0,1,1.0,4.0,40.0
2607,3,7310,6,3.0,,1,,,
2607,4,7310,4,1.0,,2,,,
2608,1,7306,20,15.0,1.0,2,1.0,4.0,30.0
2608,2,7306,3,,,2,,,
2608,3,7306,24,,1.0,2,1.0,2.0,40.0
2609,1,7311,25,15.0,1.0,1,1.0,4.0,40.0
2609,2,7311,23,15.0,1.0,2,2.0,4.0,10.0
2609,3,7311,4,1.0,,2,,,
2609,4,7311,34,,1.0,1,1.0,4.0,40.0
2609,5,7311,33,,1.0,2,1.0,4.0,40.0
2609,6,7311,30,,1.0,1,1.0,4.0,40.0
2609,7,7311,24,15.0,1.0,1,1.0,4.0,8.0
2609,8,7311,24,15.0,1.0,2,1.0,4.0,20.0
2609,9,7311,49,,,2,6.0,4.0,
2609,10,7311,3,1.0,,1,,,
2609,11,7311,2,,,2,,,
2610,1,7319,42,,1.0,2,3.0,4.0,30.0
2610,2,7319,15,11.0,,1,,,
2610,3,7319,13,10.0,,2,,,
2610,4,7319,8,4.0,,1,,,
2611,1,7316,25,,,1,6.0,4.0,
2611,2,7316,24,15.0,1.0,1,3.0,2.0,
2612,1,7301,43,,1.0,1,1.0,4.0,40.0
2612,2,7301,32,,1.0,2,1.0,4.0,35.0
2612,3,7301,12,9.0,,2,,,
2612,4,7301,9,5.0,,1,,,
2612,5,7301,6,2.0,,1,,,
2613,1,7306,30,,6.0,1,1.0,4.0,40.0
2614,1,7314,69,,,2,6.0,4.0,
2615,1,7314,77,,,1,6.0,2.0,
2615,2,7314,78,,,2,6.0,4.0,
2616,1,7313,67,,,2,6.0,4.0,
2617,1,7315,59,,,2,6.0,4.0,
2617,2,7315,59,,1.0,1,1.0,4.0,40.0
2618,1,7301,20,15.0,1.0,2,1.0,4.0,30.0
2619,1,7308,71,,,1,6.0,4.0,
2619,2,7308,62,,4.0,2,6.0,4.0,
2620,1,7311,67,,8.0,1,6.0,4.0,
2620,2,7311,45,,,2,6.0,4.0,
2620,3,7311,20,15.0,,2,6.0,4.0,
2621,1,7305,63,,1.0,1,1.0,4.0,20.0
2621,2,7305,65,,1.0,2,6.0,4.0,
2622,1,7310,26,,1.0,2,1.0,4.0,30.0
2622,2,7310,26,,2.0,2,1.0,4.0,40.0
2623,1,7307,43,,6.0,1,1.0,4.0,40.0
2623,2,7307,49,,1.0,2,6.0,4.0,
2623,3,7307,22,,1.0,2,1.0,4.0,30.0
2623,4,7307,18,14.0,,2,6.0,4.0,
2624,1,7305,43,,6.0,1,1.0,4.0,50.0
2624,2,7305,45,,1.0,2,1.0,4.0,40.0
2624,3,7305,3,1.0,,1,,,
2625,1,7303,62,,1.0,1,1.0,4.0,40.0
2626,1,7319,43,,4.0,2,1.0,4.0,40.0
2626,2,7319,15,11.0,,1,,,
2626,3,7319,9,5.0,,1,,,
2627,1,7311,38,,4.0,2,1.0,2.0,40.0
2627,2,7311,39,,3.0,1,3.0,4.0,30.0
2627,3,7311,6,3.0,,2,,,
2627,4,7311,4,1.0,,2,,,
2628,1,7319,85,,5.0,1,1.0,2.0,40.0
2628,2,7319,65,,,2,6.0,2.0,
2628,3,7319,41,,1.0,1,1.0,4.0,60.0
2628,4,7319,40,,,1,6.0,4.0,
2628,5,7319,57,,9.0,2,3.0,4.0,
2628,6,7319,3,,,2,,,
2629,1,7321,23,,1.0,2,1.0,4.0,21.0
2629,2,7321,28,,1.0,1,1.0,4.0,39.0
2629,3,7321,2,,,2,,,
2630,1,7308,29,,1.0,1,1.0,4.0,40.0
2630,2,7308,37,15.0,,1,6.0,2.0,
2630,3,7308,26,16.0,1.0,1,1.0,4.0,40.0
2630,4,7308,26,,1.0,1,1.0,4.0,40.0
2631,1,7314,26,,2.0,2,1.0,4.0,40.0
2632,1,7312,23,15.0,1.0,1,6.0,4.0,
2632,2,7312,27,16.0,,1,6.0,4.0,
2632,3,7312,57,,1.0,1,1.0,4.0,40.0
2632,4,7312,52,,1.0,2,1.0,4.0,30.0
2632,5,7312,84,,,2,6.0,4.0,
2633,1,7322,23,,5.0,1,1.0,4.0,40.0
2633,2,7322,21,15.0,1.0,2,1.0,4.0,2.0
2634,1,7301,46,,1.0,2,1.0,4.0,60.0
2635,1,7315,82,,,1,6.0,3.0,
2636,1,7322,67,,,2,6.0,4.0,
2637,1,7310,68,,4.0,1,1.0,4.0,35.0
2637,2,7310,66,,1.0,2,6.0,4.0,
2638,1,7313,36,,1.0,1,1.0,4.0,40.0
2639,1,7308,50,,1.0,1,1.0,2.0,40.0
2639,2,7308,40,,3.0,2,1.0,4.0,55.0
2639,3,7308,7,4.0,,2,,,
2640,1,7318,63,,,1,6.0,4.0,
2641,1,7303,65,,3.0,1,6.0,4.0,40.0
2641,2,7303,57,,1.0,2,1.0,4.0,50.0
2641,3,7303,23,15.0,4.0,1,1.0,4.0,10.0
2641,4,7303,21,,,1,6.0,4.0,
2642,1,7307,72,,,1,6.0,4.0,
2642,2,7307,70,,,2,6.0,4.0,
2643,1,7316,77,,2.0,2,1.0,4.0,15.0
2643,2,7316,68,,,1,6.0,4.0,
2644,1,7321,66,,,1,6.0,4.0,
2645,1,7316,37,,6.0,1,1.0,4.0,36.0
2645,2,7316,34,,1.0,2,1.0,4.0,35.0
2645,3,7316,16,13.0,,1,6.0,,
2645,4,7316,9,5.0,,1,,,
2645,5,7316,4,1.0,,2,,,
2646,1,7309,47,,,2,6.0,4.0,
2646,2,7309,48,,7.0,1,1.0,2.0,55.0
2646,3,7309,17,14.0,,1,6.0,4.0,
2646,4,7309,15,12.0,,1,,,
2647,1,7303,73,,,2,6.0,4.0,
2648,1,7308,73,,,1,6.0,4.0,
2649,1,7316,33,,1.0,2,1.0,4.0,40.0
2650,1,7301,69,,1.0,1,1.0,2.0,40.0
2651,1,7308,66,,1.0,2,6.0,4.0,60.0
2652,1,7303,57,,2.0,2,1.0,4.0,50.0
2652,2,7303,48,,1.0,1,2.0,4.0,40.0
2653,1,7304,50,,1.0,1,1.0,4.0,99.0
2653,2,7304,51,,1.0,2,1.0,4.0,80.0
2653,3,7304,12,9.0,,1,,,
2654,1,7311,50,,1.0,1,1.0,4.0,40.0
2654,2,7311,52,,,2,6.0,4.0,
2654,3,7311,14,10.0,,2,,,
2654,4,7311,12,9.0,,2,,,
2654,5,7311,77,,,2,6.0,4.0,
2655,1,7313,42,16.0,3.0,2,1.0,4.0,60.0
2655,2,7313,43,15.0,1.0,1,1.0,4.0,40.0
2655,3,7313,17,14.0,,1,6.0,4.0,
2655,4,7313,13,10.0,,2,,,
2656,1,7317,77,,,2,6.0,4.0,
2656,2,7317,83,,,1,6.0,2.0,
2657,1,7313,46,,1.0,2,1.0,4.0,50.0
2657,2,7313,50,,1.0,1,1.0,4.0,45.0
2657,3,7313,13,10.0,,1,,,
2657,4,7313,11,8.0,,1,,,
2657,5,7313,9,6.0,,2,,,
2658,1,7303,31,,3.0,2,1.0,4.0,40.0
2658,2,7303,31,,3.0,1,1.0,4.0,8.0
2658,3,7303,2,,,2,,,
2658,4,7303,0,,,1,,,
2659,1,7312,32,16.0,4.0,1,2.0,4.0,40.0
2659,2,7312,32,,5.0,2,2.0,4.0,60.0
2660,1,7309,28,,1.0,1,1.0,4.0,40.0
2660,2,7309,29,15.0,2.0,2,1.0,4.0,40.0
2660,3,7309,24,16.0,4.0,1,6.0,4.0,20.0
2661,1,7313,76,,,1,6.0,2.0,
2661,2,7313,76,,,2,6.0,4.0,
2661,3,7313,45,,1.0,1,1.0,4.0,55.0
2662,1,7317,22,15.0,1.0,2,1.0,4.0,28.0
2662,2,7317,14,11.0,,1,,,
2662,3,7317,12,8.0,,2,,,
2662,4,7317,43,,1.0,2,1.0,4.0,40.0
2663,1,7316,51,,1.0,2,1.0,4.0,40.0
2663,2,7316,74,,,2,6.0,4.0,
2664,1,7306,67,,,1,6.0,3.0,
2665,1,7309,53,,6.0,2,1.0,4.0,43.0
2665,2,7309,22,,1.0,1,1.0,4.0,16.0
2666,1,7307,77,,,2,6.0,4.0,
2667,1,7310,38,,1.0,1,1.0,4.0,60.0
2667,2,7310,36,,6.0,2,1.0,4.0,99.0
2667,3,7310,10,7.0,,2,,,
2667,4,7310,7,4.0,,2,,,
2668,1,7319,74,,,2,6.0,4.0,
2668,2,7319,72,,,1,6.0,2.0,
2669,1,7313,46,,1.0,1,1.0,2.0,40.0
2669,2,7313,43,,,2,6.0,4.0,
2669,3,7313,15,11.0,,1,,,
2669,4,7313,12,9.0,,2,,,
2670,1,7319,77,,1.0,1,1.0,3.0,20.0
2670,2,7319,49,,2.0,2,1.0,4.0,40.0
2671,1,7306,60,,1.0,1,1.0,4.0,40.0
2671,2,7306,55,,6.0,2,1.0,4.0,6.0
2672,1,7313,69,,1.0,1,6.0,2.0,9.0
2672,2,7313,52,,6.0,2,6.0,4.0,
2672,3,7313,46,,2.0,2,1.0,4.0,24.0
2673,1,7304,64,,,2,6.0,4.0,
2674,1,7303,23,,1.0,2,1.0,4.0,40.0
2674,2,7303,32,15.0,1.0,1,1.0,4.0,60.0
2674,3,7303,38,,1.0,1,1.0,2.0,50.0
2675,1,7313,56,,1.0,1,1.0,4.0,56.0
2675,2,7313,56,,3.0,2,1.0,4.0,30.0
2675,3,7313,81,15.0,,2,6.0,4.0,
2676,1,7315,72,,6.0,1,1.0,2.0,60.0
2676,2,7315,56,,6.0,2,6.0,4.0,
2676,3,7315,32,,1.0,2,6.0,4.0,
2676,4,7315,2,,,1,,,
2676,5,7315,36,,5.0,1,1.0,2.0,50.0
2676,6,7315,23,,4.0,1,1.0,4.0,40.0
